depth,opponent,flatmc_wr%,avg_turns,time_sec,cq%,cs%,tb%
2,Builder,0.0,250.0,8.1,0,0,0
2,Rusher,47.0,246.7,8.5,0,0,47
2,AlwaysWhite,1.0,94.7,2.4,1,0,0
2,StateAware,2.0,114.0,3.4,2,0,0
3,Builder,0.0,248.1,10.9,0,0,0
3,Rusher,46.0,247.8,14.1,2,0,44
3,AlwaysWhite,2.0,96.4,5.4,2,0,0
3,StateAware,8.0,117.7,5.5,8,0,0
4,Builder,0.0,244.2,19.6,0,0,0
4,Rusher,42.0,246.9,20.0,4,0,38
4,AlwaysWhite,6.0,99.2,4.4,6,0,0
4,StateAware,6.0,118.4,13.9,6,0,0
5,Builder,0.0,243.8,22.0,0,0,0
5,Rusher,38.0,247.1,18.1,4,0,34
5,AlwaysWhite,8.0,101.9,5.2,8,0,0
5,StateAware,9.0,119.7,8.1,9,0,0
6,Builder,0.0,244.3,25.9,0,0,0
6,Rusher,51.0,238.8,17.3,13,0,38
6,AlwaysWhite,13.0,103.8,6.0,13,0,0
6,StateAware,13.0,120.8,9.3,13,0,0
8,Builder,38.0,210.0,15.8,38,0,0
8,Rusher,76.0,183.9,11.2,62,0,14
8,AlwaysWhite,60.0,132.6,7.3,58,0,2
8,StateAware,66.0,163.2,8.2,66,0,0
